A note on rankings: Most rankings below are drawn from the QS World University Rankings by Subject 2026 (the most widely used global subject ranking, released March 2026) and India's NIRF Rankings 2025 (Government of India, released September 2025). Rankings shift year to year — treat the numbers as a snapshot, not a permanent hierarchy, and always check the current-year ranking before applying.

Master Scholarship Directory (Applies Across Sectors)

Rather than repeating full details 30 times, here are the major funding programs referenced throughout — most are field-agnostic and apply to whichever university/subject you choose.

Scholarship	Funded By	Coverage	Best For
Fulbright-Nehru Fellowship	US Government (for Indian students)	Tuition, $1,500/month stipend, travel, insurance	~350 Indians/year, any field, master's/PhD
Chevening Scholarship	UK Foreign, Commonwealth & Development Office	Full tuition, ~£1,347/month living, airfare, visa costs	1-year UK master's, leadership potential
Commonwealth Scholarship	UK Government / Commonwealth countries	Full tuition, living stipend, airfare	Commonwealth citizens, master's/PhD
DAAD Scholarship	Germany (govt + EU)	Tuition (often free already at public German unis), stipend, insurance	Master's/PhD, all fields, esp. STEM
Erasmus Mundus Joint Master's	European Union	Full tuition + ~€1,400/month + travel	Joint-degree master's across 2–3 EU countries
Rhodes Scholarship	Rhodes Trust (Oxford)	Full funding for Oxford degree	Exceptional leadership + academic record
Gates Cambridge Scholarship	Bill & Melinda Gates Foundation	Full funding at Cambridge	Any subject, strong social commitment
Knight-Hennessy Scholars	Stanford University	Full funding, any Stanford graduate program	Leadership-driven, multidisciplinary
MEXT Scholarship	Japanese Government	Full tuition + monthly stipend	Study in Japan, all levels
Australia Awards	Australian Government	Full tuition, living, travel	Master's/PhD in Australia
Vanier Canada Graduate Scholarship	Government of Canada	CAD $50,000/year	PhD only, research excellence
National Overseas Scholarship (NOS)	Govt of India (Ministry of Social Justice)	Tuition + living costs abroad	SC/ST/OBC/notified students
INSPIRE Scholarship	Govt of India (DST)	₹80,000/year	Science students studying in India
JN Tata Endowment / Sir Ratan Tata Trust	Tata Trusts	Partial loan-scholarships	Indian students going abroad, any field
KC Mahindra / Inlaks Shivdasani Foundation	Private Indian foundations	Partial to substantial funding	Indian students, merit-based, abroad study
Need-blind/full-need US policy	Harvard, MIT, Princeton, Yale, and a few others	Meets 100% of demonstrated financial need	Undergrad admits, including many international students
Karnataka State Scholarship Portal (SSP)	Government of Karnataka	State scholarship application portal; support and eligibility vary by department and course	Eligible Karnataka students; verify the current scheme and deadline on the official portal
Vidyasiri Scholarship	Karnataka Backward Classes Welfare Department	Financial support subject to the current year's eligibility rules	Eligible Karnataka students in post-matric studies; category, income and course rules apply
Karnataka ePASS Post-Matric Scholarship	Government of Karnataka	Post-matric fee and maintenance support subject to the notified scheme	Eligible SC/ST and other notified-category Karnataka students; verify current criteria
Sitaram Jindal Foundation Scholarship	Sitaram Jindal Foundation	Need-based education support; amount and eligibility vary	Indian students meeting current academic and income criteria
1. Business, Management & Finance
University	Country	Ranking/Reputation	Scholarships
Harvard Business School	USA	#1 QS Business & Management 2026	Need-based aid covering full need; no loans required
Stanford Graduate School of Business	USA	Top 3 globally	Knight-Hennessy Scholars (full funding)
INSEAD	France/Singapore	#4 globally, top in Europe	INSEAD scholarships (need + merit), Forté Fellowship
London Business School	UK	Consistently top 10	LBS Scholarships, Diversity & Access Awards
National University of Singapore (NUS) Business School	Singapore	#8 globally, #1 Asia	ASEAN & NUS merit scholarships
IIM Ahmedabad	India	NIRF Management #1 (2025)	Need-based fee waivers, Govt of India schemes
IIM Bangalore	India	NIRF Management #2 (2025)	Merit-cum-means scholarships, corporate sponsorships
2. Technology, IT & Computer Science
University	Country	Ranking/Reputation	Scholarships
MIT	USA	#1 QS Computer Science 2026	100% demonstrated need met, no loans
Stanford University	USA	Top 3 globally	Knight-Hennessy Scholars
Carnegie Mellon University	USA	Top 3 globally	CMU merit & need-based aid
National University of Singapore	Singapore	Tied #4 globally (with Oxford)	NUS + ASEAN scholarships
ETH Zurich	Switzerland	Top-ranked in Europe	Excellence Scholarship & Opportunity Programme (ESOP)
IIT Madras	India	NIRF Engineering #1 (2025)	JEE-based low fees, Govt of India / PM Scholarship, SC/ST/EWS waivers
IIT Bombay	India	NIRF Engineering #3 (2025)	Institute merit-cum-means scholarships
3. Engineering (Non-Software)
University	Country	Ranking/Reputation	Scholarships
MIT	USA	#1 QS Engineering & Technology 2026	Full-need financial aid
Stanford University	USA	Top 3 globally	Knight-Hennessy Scholars
ETH Zurich	Switzerland	Top in Europe (Engineering)	ESOP scholarship
University of Cambridge	UK	Consistently top 5–10	Gates Cambridge, Cambridge Trust scholarships
Nanyang Technological University	Singapore	Top 15 globally	NTU/ASEAN scholarships
IIT Madras	India	NIRF #1 Engineering	Govt of India / PM Scholarship scheme
IIT Delhi	India	NIRF #2 Engineering	Institute + SC/ST/OBC/EWS scholarships
4. Healthcare & Medicine
University	Country	Ranking/Reputation	Scholarships
